metabolite	tgt_proteins_ngene	tgt_proteins_indrg	tgt_proteins_pvalue	tgt_proteins_padj	tgt_proteins_overlap	ss_metabolites_ngene	ss_metabolites_indrg	ss_metabolites_pvalue	ss_metabolites_padj	ss_metabolites_overlap	co_metabolites_ngene	co_metabolites_indrg	co_metabolites_pvalue	co_metabolites_padj	co_metabolites_overlap
levulinate	0	0	NA	NA	NA	0	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
3-hydroxyoctanoate	0	0	NA	NA	NA	203	18	4.72535544819805e-12	2.59894549650893e-11	C3/CCL21/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/CCR6/CXCL12/CXCR4/OPRM1	197	18	2.8388556648327e-12	4.17670718504121e-12	C3/CCL21/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/CCR6/CXCL12/CXCR4/OPRM1
caprate	0	0	NA	NA	NA	252	3	0.489748984641773	0.507985262047611	IL8/PTGS2/PLA2G2A	453	17	5.88497847314936e-06	7.24305042849151e-06	RETN/IL2/IL4/LRP1/IL6/ICAM1/VCAM1/LEP/CYP3A4/CAV1/MAPK8/MME/PTGS2/PLA2G2A/NCOR2/TNF/GC
3-hydroxyhexanoate	0	0	NA	NA	NA	0	0	NA	NA	NA	197	18	2.8388556648327e-12	4.17670718504121e-12	C3/CCL21/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/CCR6/CXCL12/CXCR4/OPRM1
dodecanoate	0	0	NA	NA	NA	252	3	0.489748984641773	0.507985262047611	IL8/PTGS2/PLA2G2A	453	17	5.88497847314936e-06	7.24305042849151e-06	RETN/IL2/IL4/LRP1/IL6/ICAM1/VCAM1/LEP/CYP3A4/CAV1/MAPK8/MME/PTGS2/PLA2G2A/NCOR2/TNF/GC
undecanedionate	0	0	NA	NA	NA	259	3	0.507985262047611	0.507985262047611	IL8/PTGS2/PLA2G2A	453	17	5.88497847314936e-06	7.24305042849151e-06	RETN/IL2/IL4/LRP1/IL6/ICAM1/VCAM1/LEP/CYP3A4/CAV1/MAPK8/MME/PTGS2/PLA2G2A/NCOR2/TNF/GC
palmitate	832	64	1.01892572765498e-37	8.15140582123982e-37	CD4/TGFB1/CCL2/IL2/IFNG/IL4/LRP1/C3/CD68/CRP/CDH1/SELP/CD80/ICAM1/TP53/IFNA1/IL18/VCAM1/CEBPB/CXCL8/CD34/LEP/CD209/CYP2B6/F3/KIR2DL1/CAV1/CCR6/HP/CASP8/HLA-DRB1/DPP4/CR2/PTGS2/FCGR3A/CD40LG/CD40/FOXP3/HLA-C/HLA-G/PCNA/GPX3/KIR3DL1/HLA-DRA/HLA-A/BCL2/PLA2G2A/IL6/IGF2/TNF/HLA-B/ESR1/PTPRC/IL10/SERPINA1/GC/KLRC1/MRC1/CCL5/CCL3/ABCB1/HAVCR1/B2M/CYP3A4	512	17	0.000028450699143942	0.0000736371036666734	ESR1/SIRT1/CCL2/LRP1/IL6/TP53/IL8/CYP2B6/BCL2/MAPK8/SOD2/PTGS2/PLA2G2A/GPX3/NCOR2/TNF/B2M	1281	42	2.86899969264144e-11	4.03551605118795e-11	SIRT1/TGFB1/CCL2/AICDA/NR3C1/LRP1/C3/IL6/CCL21/CCNT1/ICAM1/TP53/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/IRF3/CHRNA3/CYP2B6/BCL2/F3/CCR6/MAPK8/PTGS2/CDK9/PCNA/TRIM5/GPX3/CXCL12/NCOR2/CXCR4/OPRM1/TNF/B2M
heptadecanoate	0	0	NA	NA	NA	436	16	0.0000146782406786271	0.0000430561726573061	ESR1/SIRT1/CCL2/LRP1/IL6/TP53/IL8/CYP2B6/BCL2/MAPK8/SOD2/PTGS2/GPX3/NCOR2/TNF/B2M	453	17	5.88497847314936e-06	7.24305042849151e-06	RETN/IL2/IL4/LRP1/IL6/ICAM1/VCAM1/LEP/CYP3A4/CAV1/MAPK8/MME/PTGS2/PLA2G2A/NCOR2/TNF/GC
azelate	0	0	NA	NA	NA	259	3	0.507985262047611	0.507985262047611	IL8/PTGS2/PLA2G2A	453	17	5.88497847314936e-06	7.24305042849151e-06	RETN/IL2/IL4/LRP1/IL6/ICAM1/VCAM1/LEP/CYP3A4/CAV1/MAPK8/MME/PTGS2/PLA2G2A/NCOR2/TNF/GC
sulfamethoxazole	0	0	NA	NA	NA	8	2	0.00290372908795522	0.00412142193129128	IFNG/IL8	309	27	2.31771919654502e-17	3.70835071447204e-17	C3/CCL21/TP53/IFNA1/ATM/IL18/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/PAK2/GSK3B/CYP3A4/CCR6/CXCL12/CXCR4/OPRM1/TNF/VDR
3-methyladipate	0	0	NA	NA	NA	0	0	NA	NA	NA	453	17	5.88497847314936e-06	7.24305042849151e-06	RETN/IL2/IL4/LRP1/IL6/ICAM1/VCAM1/LEP/CYP3A4/CAV1/MAPK8/MME/PTGS2/PLA2G2A/NCOR2/TNF/GC
