Database	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
KEGG Pathways	hsa04080	(KEGG)Neuroactive ligand-receptor interaction	226/396	367/8673	2.22557713275656e-234	5.05206009135738e-232	3.16266224128563e-232	SCTR/UTS2/P2RY10/DRD4/SCT/BDKRB1/PDYN/OXT/MLNR/C5/PPY/GNRHR/GRM6/KISS1R/OPRD1/GHRH/IAPP/GHSR/NPY/MC3R/PTGER2/C3/GNRH2/S1PR4/F2RL3/MCHR1/GALR3/SSTR4/NMUR2/CHRM3/NTS/GRP/HRH4/MTNR1B/APLNR/NMBR/HTR2B/VIPR2/GLP2R/NMU/POMC/KNG1/OPRK1/GAL/NPFF/SSTR1/PTH2/PTH2R/AGTR1/TAAR1/HTR2C/GNRH1/CRH/NPFFR1/ADM/ADRA2A/MCHR2/CYSLTR2/PTH/GRM1/SST/HTR5A/HTR6/PTGIR/PTGER1/HCRT/SSTR5/LHCGR/CCKAR/F2RL2/F2RL1/TSHR/RXFP2/AVPR1A/GALR1/MC4R/TAC3/PNOC/PTAFR/C3AR1/PRL/FPR1/MTNR1A/PTGER4/RXFP1/TACR3/PTGDR/TRH/TACR1/NTSR2/ADORA2B/P2RY1/ADRB2/S1PR1/APLN/NMUR1/DRD5/GRM5/CHRM1/ADRA1B/LTB4R/BDKRB2/HTR1E/NPFFR2/P2RY14/ADORA1/P2RY6/TRHR/P2RY2/HTR1D/EDNRA/HTR1A/MC5R/CHRM2/GHRHR/P2RY13/TAC1/F2R/PTH1R/HTR1F/UTS2R/PENK/OXTR/VIPR1/DRD1/S1PR5/RXFP3/GALR2/NPW/SSTR3/NPBWR1/CALCA/PMCH/NPY2R/NPB/MC2R/CCKBR/CCK/ADORA2A/OPRL1/EDN3/HTR7/AVPR2/NPY5R/FPR2/UTS2D/CRHR2/FPR3/HRH3/ADRB3/GRM8/LPAR6/QRFP/CALCB/C5AR1/PTGER3/GIP/SSTR2/GRM7/S1PR3/LPAR1/CALCR/NPSR1/PYY/HTR4/NPY1R/DRD2/GRM3/AGT/KISS1/VIP/RXFP4/ADRB1/CNR1/ADORA3/NPBWR2/HTR1B/NTSR1/LPAR3/PTGFR/HCRTR2/AGTR2/EDN2/GLP1R/LPAR4/CYSLTR1/TACR2/HCRTR1/GRM4/PPYR1/CNR2/P2RY4/NMS/EDNRB/HRH2/HTR2A/EDN1/ADRA1D/GRPR/AVP/ADRA1A/CHRM5/DRD3/QRFPR/NMB/GRM2/ADM2/ADCYAP1R1/HRH1/NPS/CRHR1/GCGR/LPAR2/FSHR/ADRA2C/ADRA2B/GCG/MLN/TBXA2R/OPRM1/CHRM4/ADCYAP1/LTB4R2/MC1R/S1PR2/GIPR	226
KEGG Pathways	hsa04742	(KEGG)Taste transduction	47/396	86/8673	6.21156283151756e-41	7.05012381377243e-39	4.413478853973e-39	TAS2R8/TAS2R10/TAS2R7/TAS2R9/TAS2R3/TAS2R4/TAS2R5/TAS2R16/CHRM3/HTR3B/PLCB2/PLCB3/GRM1/ADCY8/P2RY1/HTR1E/ADCY6/ADCY4/HTR1D/HTR1A/HTR3C/HTR1F/TAS2R60/TAS2R42/PLCB4/HTR3E/PLCB1/HTR3A/HTR1B/GRM4/P2RY4/HTR3D/TAS2R1/TAS2R19/TAS2R31/TAS2R13/GNAT3/TAS2R41/TAS2R40/TAS2R39/TAS2R50/TAS2R43/TAS2R46/TAS2R20/TAS2R14/TAS2R30/TAS2R38	47
KEGG Pathways	hsa04024	(KEGG)cAMP signaling pathway	69/396	225/8673	1.88023344514352e-39	1.42270997349193e-37	8.90636895067982e-38	CFTR/OXT/GHSR/NPY/PTGER2/FFAR2/ADCY7/ADCY3/VIPR2/PIK3CA/POMC/SSTR1/PIK3R1/CRH/ADCY8/SST/HTR6/SSTR5/ADCY9/LHCGR/ADCY1/TSHR/ADRB2/DRD5/CHRM1/HTR1E/ADORA1/ADCY6/ADCY4/GNAI2/HTR1D/EDNRA/HTR1A/CHRM2/F2R/HTR1F/OXTR/DRD1/MC2R/ADORA2A/EDN3/CRHR2/ADCY2/GNAI1/PTGER3/HCAR1/GIP/SSTR2/HTR4/NPY1R/DRD2/SUCNR1/VIP/ADRB1/GNAI3/HTR1B/GNAS/EDN2/GLP1R/EDN1/HCAR2/ADCYAP1R1/CRHR1/FSHR/GCG/ADCYAP1/ADCY5/HCAR3/GIPR	69
KEGG Pathways	hsa04062	(KEGG)Chemokine signaling pathway	64/396	192/8673	4.62677368688559e-39	2.62569406730757e-37	1.64372223086725e-37	CXCL6/CCR7/ADCY7/CCL21/CCL27/PLCB2/ADCY3/PIK3CA/PIK3R1/PLCB3/ADCY8/GNAQ/CXCL13/CXCR5/CCR2/CCR5/CCL5/CCL16/CXCL16/ADCY9/CXCR1/CXCL3/CXCL5/PPBP/CCR1/ADCY1/CXCR6/CXCL10/IL8/CXCL11/CCL19/XCR1/ADCY6/ADCY4/ADRBK1/GNAI2/CXCR2/GSK3B/CCR8/CCR10/CCR4/PLCB4/GNG2/PLCB1/CCR6/ADCY2/GNAI1/CCR9/CCL20/CCL28/CXCL9/XCL1/XCL2/GNAI3/CXCR3/GNB1/CCL25/GRK5/CXCL1/CXCL12/CXCR4/ADCY5/CXCL2/CCR3	64
KEGG Pathways	hsa04020	(KEGG)Calcium signaling pathway	68/396	253/8673	8.04276565537799e-35	3.65141560754161e-33	2.28583865994953e-33	GNA11/BDKRB1/ADCY7/CHRM3/HTR2B/PLCB2/ADCY3/GNA15/AGTR1/HTR2C/NTRK2/PLCB3/CYSLTR2/GRM1/ADCY8/GNAQ/HTR5A/HTR6/PTGER1/ADCY9/LHCGR/CCKAR/ADCY1/AVPR1A/PTAFR/TACR3/TACR1/ADORA2B/ADRB2/DRD5/GRM5/CHRM1/ADRA1B/BDKRB2/TRHR/ADCY4/EDNRA/CHRM2/F2R/OXTR/DRD1/PLCB4/CCKBR/ADORA2A/HTR7/PLCB1/ADCY2/ADRB3/PTGER3/HTR4/ADRB1/NTSR1/PTGFR/GNAS/CYSLTR1/TACR2/GNA14/EDNRB/HRH2/HTR2A/ADRA1D/GRPR/ADRA1A/CHRM5/HRH1/CXCR4/TBXA2R/LTB4R2	68
KEGG Pathways	hsa04726	(KEGG)Serotonergic synapse	43/396	115/8673	9.89188072864914e-29	3.74242820900559e-27	2.34281385678532e-27	TPH1/HTR2B/HTR3B/PLCB2/CYP2C9/SLC6A4/HTR2C/SLC18A1/PLCB3/APP/GNAQ/HTR5A/HTR6/KCNJ3/SLC18A2/HTR1E/GNAI2/HTR1D/HTR1A/HTR3C/HTR1F/TPH2/PLCB4/GNG2/HTR3E/HTR7/PLCB1/MAOA/GNAI1/HTR3A/DDC/CYP2D6/HTR4/GNAI3/HTR1B/GNAS/CYP2C19/CYP4X1/MAOB/GNB1/HTR2A/HTR3D/ADCY5	43
KEGG Pathways	hsa04061	(KEGG)Viral protein interaction with cytokine and cytokine receptor	39/396	100/8673	6.02883712853396e-27	1.95506575453887e-25	1.22389926669486e-25	CXCL6/CCR7/CCL21/CCL27/CXCR7/CXCL13/CXCR5/CCR2/CCR5/CCL5/CCL16/CXCR1/CXCL3/CXCL5/PPBP/CCR1/CXCL10/IL8/CXCL11/CCL19/XCR1/CXCR2/CCR8/CCR10/CCR4/CCR6/CCR9/CCL20/CCL28/CXCL9/XCL1/XCL2/CXCR3/CCL25/CXCL1/CXCL12/CXCR4/CXCL2/CCR3	39
KEGG Pathways	hsa04072	(KEGG)Phospholipase D signaling pathway	40/396	148/8673	9.40888466410513e-21	2.66977102343983e-19	1.67131503901867e-19	GRM6/ADCY7/PLCB2/ADCY3/PIK3CA/AGTR1/PIK3R1/PLCB3/GRM1/ADCY8/ADCY9/CXCR1/ADCY1/AVPR1A/GRM5/IL8/ADCY6/ADCY4/CXCR2/F2R/LPAR5/PLCB4/AVPR2/PLCB1/ADCY2/GRM8/LPAR6/GRM7/LPAR1/GRM3/AGT/LPAR3/PTGFR/GNAS/LPAR4/GRM4/AVP/GRM2/LPAR2/ADCY5	40
KEGG Pathways	hsa04924	(KEGG)Renin secretion	26/396	69/8673	7.23678391540765e-18	1.82527772088615e-16	1.14265009190647e-16	PTGER2/PLCB2/REN/AGTR1/PLCB3/GNAQ/PTGER4/ADRB2/ADORA1/ADCY6/GNAI2/EDNRA/PLCB4/EDN3/PLCB1/GNAI1/ADRB3/AGT/ADRB1/GNAI3/GNAS/EDN2/EDN1/ADCYAP1R1/ADCYAP1/ADCY5	26
KEGG Pathways	hsa04911	(KEGG)Insulin secretion	28/396	86/8673	3.39809998714481e-17	7.71368697081872e-16	4.82887892910052e-16	GNA11/RAB3A/FFAR1/ADCY7/SNAP25/CHRM3/PLCB2/ADCY3/PLCB3/ADCY8/GNAQ/ADCY9/CCKAR/ADCY1/ADCY6/ADCY4/VAMP2/PLCB4/CCK/PLCB1/ADCY2/GIP/GNAS/GLP1R/ADCYAP1R1/GCG/ADCYAP1/ADCY5	28
