Metabolite	PRISM|7122	PRISM|7147	PRISM|7150	PRISM|7153	PRISM|7184	PRISM|7238	PRISM|7406	PRISM|7408	PRISM|7421	PRISM|7445	PRISM|7486	PRISM|7547	PRISM|7658	PRISM|7662	PRISM|7744	PRISM|7759	PRISM|7791	PRISM|7843	PRISM|7847	PRISM|7855	PRISM|7858	PRISM|7860	PRISM|7861	PRISM|7862	PRISM|7870	PRISM|7874	PRISM|7875	PRISM|7879	PRISM|7899	PRISM|7904	PRISM|7906	PRISM|7908	PRISM|7909	PRISM|7910	PRISM|7911	PRISM|7912	PRISM|7938	PRISM|7941	PRISM|7947	PRISM|7948	PRISM|7955	PRISM|7971	PRISM|7989	PRISM|8095	PRISM|8226	PRISM|8244	PRISM|8264	PRISM|8283	PRISM|8332	PRISM|8336	PRISM|8361	PRISM|8374	PRISM|8377	PRISM|8406	PRISM|8452	PRISM|8462	PRISM|8466	PRISM|8467	PRISM|8475	PRISM|8483	PRISM|8485	PRISM|8496	PRISM|8523	PRISM|8534	PRISM|8537	PRISM|8550	PRISM|8564	PRISM|8565	PRISM|8573	PRISM|8577	PRISM|8589	PRISM|8591	PRISM|8592	PRISM|8624	PRISM|8629	PRISM|8675	PRISM|8683	PRISM|8746	PRISM|8749	PRISM|8753	PRISM|8754	PRISM|8758	PRISM|8764	PRISM|8765	PRISM|8774	PRISM|8776	PRISM|8783	PRISM|8784	PRISM|8788	PRISM|8789	PRISM|8794	PRISM|8800	PRISM|8802	PRISM|8806	PRISM|8807	PRISM|8841	PRISM|8843	PRISM|8847	PRISM|8878	PRISM|8892	PRISM|9126	PRISM|9148
1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid	210.752	23.7645	359.982	190.391	45.9292	9.97964	37.7002	32.5376	75.2186	82.7138	101.724	33.0444	100.998	592.864	99.6607	49.2859	245.24	65.6484	76.6127	30.5471	763.987	225.442	249.915	43.27	277.127	411.318	11.6805	130.804	175.906	745.407	396.93	310.744	600.25	49.4962	91.017	74.9699	8.92318	55.806	83.0106	77.468	118.231	47.8845	0	15.1896	21.3066	241.303	0	86.1763	74.4084	25.8303	310.351	144.208	10.3398	91.3197	27.694	132.379	82.5763	37.043	305.677	30.802	69.207	136.377	0	24.5652	28.6131	130.071	139.637	0	31.0141	334.732	98.18	158.547	51.2666	158.061	174.778	67.3489	14.5036	0	50.9968	66.8732	251.878	22.0876	55.2679	643.751	318.789	8.71072	50.8732	129.843	53.7234	328.882	74.0934	31.3612	19.563	33.738	8.82836	0	0	61.4675	22.4909	105.397	41.1595	48.3834
1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid	63.0097	62.714	308.907	28.3744	50.5728	8.41296	0	66.047	24.8839	19.0402	27.2566	26.284	124.372	56.5733	75.015	55.2298	116.467	25.9269	207.604	103.389	165.607	218.936	153.929	149.403	0	102.904	0	277.747	156.231	140.251	93.0417	97.8738	129.836	85.6131	40.8567	155.935	13.9859	17.024	21.5924	13.3245	90.3147	58.1956	0	20.0763	0	91.9574	0	78.3617	175.966	32.7725	31.8716	13.4262	9.80975	73.9552	64.244	19.2308	51.7742	97.0359	114.013	14.1885	12.9684	19.0166	0	0	22.1016	19.0649	52.27	0	45.3563	138.82	67.812	55.4971	20.8088	0	42.2241	40.4561	0	0	80.3332	21.8356	58.4474	30.7882	105.744	115.717	65.8969	0	39.8839	104.755	37.2878	94.6129	51.3168	38.7091	0	0	0	0	0	0	31.4336	83.284	75.1501	0
1-3-7-trimethylurate	873.165	690.634	686.706	348.698	798.689	1182.57	220.943	1232.39	466.765	987.381	471.087	2358.8	55.2227	215.957	372.47	254.563	244.263	18.4484	952.639	327.996	443.386	380.197	453.848	743.955	364.847	992.547	7.69112	11804.7	765.699	225.271	301.288	45.6177	35.3132	460.403	822.364	14030	348.694	136.764	273.165	161.027	93.1425	857.336	32.2331	686.402	0	3906.38	227.125	18603.7	97.3081	322.311	1107.56	241.88	523.946	128.994	135.579	2827.73	238.309	450.396	1031.43	817.092	565.389	654.208	37.6157	648.865	341.608	303.816	311.406	2279.48	260.357	865.414	10835.7	69.5477	1002.28	910.89	67.0117	0	118.034	706.27	715.357	200.898	31275.8	29.3057	12583.6	2654.56	259.212	284.714	543.733	370.527	1173.08	16709	187.039	224.001	8088.28	955.475	340.054	348.81	67.2142	0	567.767	252.534	123.428	86.8816
1-methylguanine	17.1701	0.0277991	0.0204992	0	63.307	12.718	288.785	0	21.2633	49.9001	3.83676	0	106.9	0	0	63.1329	25.1331	137.9	247.218	235.361	249.77	179.884	42.6932	292.881	0.0591182	54.2887	59.8704	91.3507	48.5104	0	206.053	124.956	0.0244175	328.266	90.1934	62.2186	5.70012	21.8919	31.6182	0	165.872	0	210.651	27.3856	38.9298	80.0475	232.859	14.4647	24.2697	611.811	0	11.9095	0.0206504	43.0955	880.069	5.81981	11.4166	234.688	9.55761	0	0	0	83.8221	824.938	13.1904	0	67.3887	83.8733	33.0104	0	175.967	0	43.883	78.9617	2550.21	0.019287	78.1035	247.195	62.54	8.49914	16.8524	74.14	54.9012	12.1238	36.0236	78.0996	0	17.3685	25.7112	36.7409	0	0	34.9416	0	88.154	810.953	14.1688	0	0	61.4895	241.023	20.4829
1-methylnicotinamide	454.239	103.944	0	0	6.17649	10.087	35.0669	152.784	241.846	149.571	0	16.5426	41.4705	0	10.7161	9.75797	25.0367	9.65934	179.582	16.1911	348.688	0	107.945	413.698	0	10.3102	0	0	0	89.6118	28.4542	121.537	0	316.327	260.016	108.155	79.3948	74.894	79.6285	104.36	0	328.743	78.5834	105.48	83.1012	37.1012	116.516	8.38761	29.1217	12.0036	114.14	187.095	50.7761	100.86	111.497	282.815	295.172	0	146.816	12.2295	0	5837.36	21.1918	141.029	239.025	237.192	64.2754	585.403	0	0	329.099	128.187	220.011	434.423	140.749	0	40.7127	68.4352	55.15	6.07183	0	45.8164	49.7692	0	0	0	0	0	0	14.2914	136.677	0	6.91047	40.5641	74.2023	132.723	16.3497	0	0	261.05	116.796	253.169
12.13-diHOME	507.955	162.325	123.417	1027.72	566.753	147.648	4120.85	41.0762	931.189	273.897	2743.15	702.694	904.689	456.799	45.3954	433.5	286.362	875.593	1509.47	260.575	1491.93	1633.49	221.023	765.166	3161.24	356.969	2091.95	96.0652	424.183	135.842	515.256	964.594	127.484	1221.92	919.591	193.994	255.187	392.573	133.254	1008.92	1009.33	1060.17	226.278	544.664	358.898	659.263	1301.42	80.7371	354.434	243.628	2000.35	3459.37	369.122	587.345	891.985	1387.24	1253.84	1882.82	0	1283.45	773.342	1157.82	244.253	802.304	447.28	423.986	577.656	1555.51	744.081	0	1948.08	2618.35	910.864	578.391	167.172	438.239	1970.06	742.494	1978.23	1124.6	222.398	155.616	294.695	93.964	360.096	774.065	303.749	384.707	589.111	251.194	549.655	1492.69	207.905	474.014	230.843	1265.76	775.657	44.7084	481.795	3024.1	91.1345	319.086
13-docosenoate	311.94	0	31.5585	48.5136	49.7607	43.6943	40.7194	15.2236	0	24.463	0	18.1762	44.4828	0	15.563	51.2329	45.5515	28.1787	0	35.9519	0	0	0	15.8333	0	0	0	634.523	14.5582	0	0	35.2866	0	0	0	20.708	0	29.2893	38.856	26.7408	49.5604	0	0	288.139	0	38.2359	0	12.8715	19.6776	0	0	0	9.41466	55.7733	0	48.207	0	205.458	10.7156	0	9.19694	0	0	27.753	0	0	0	0	0	0	0	195.133	0	0	0	12.061	11.7885	48.904	83.6927	15.4742	30.7788	16.9574	123.264	14.6281	16.6442	51.5509	0	43.2814	17.8822	15.1712	38.9087	0	51.0551	0	0	0	16.9685	26.9716	15.8543	10.5345	45.2909	0
2-aminobutyric acid	356.396	12.3401	791.694	19.8677	265.094	7841.86	15.3182	250.658	341.89	4056.1	843.62	35.3852	86.0906	950.261	2246.22	100.885	4813.04	9038.28	323.352	1086.07	262.825	297.3	893.65	876.781	612.285	437.812	949.275	622.109	567.115	696.962	78.974	538.057	895.743	206.618	453.31	360.271	3638.04	177.608	130.138	386.958	1305.16	184.112	1077.34	285.89	1935.62	43.8185	35.2663	24.9017	28.4954	191.646	3167.18	441.255	1494.46	243.75	52.2122	326.785	368.891	365.638	173.658	247.143	3288.49	780.887	2264.91	456.449	4087.98	116.754	879.409	449.33	259.563	967.826	126.197	1154.79	55.4083	1095.98	130.936	107.964	492.493	105.336	142.593	53.6537	9.69961	5583.68	11.2719	13.2673	53.8397	50.8123	46.0675	28.2648	13.9701	18.061	29.4803	62.1021	22.7682	759.271	802.99	93.7563	87.1465	15.4093	24.7285	2867.9	88.0569	103.06
2-deoxyadenosine	20.7759	0	21.0533	0	38.4573	0	0	0	6.61484	18.5239	6.216	0	20.6862	36.2914	0	6.5259	71.5155	27.9163	24.0345	30.3472	147.734	1663.96	92.4424	180.535	7.41463	25.5551	10.6363	379.11	27.9395	47.7917	48.783	560.962	26.2944	107.722	104.632	30.4786	12.7149	35.1493	16.1724	3.56062	52.5439	15.0792	0	4.20907	192.658	0	17.3156	0	0	8.28024	39.5517	0	56.7146	0	9.08497	8.28672	8.06212	72.152	93.8934	7.91868	0	15.2345	70.0558	0	2793.94	7.19866	7.81628	50.3586	88.2213	8.11249	48.1276	9.14265	20.2407	33.5949	6.2283	11.7623	25.0066	0	0	0	29.2066	0	0	26.4743	0	0	0	0	0	289.362	0	0	15.5027	0	4.48559	18.2259	0	0	0	10.1177	7272.25	7581.22
2-hydroxy-3-methylpentanoic acid /  leucinic acid	295.788	26.1544	5721.94	57.3873	111.748	1461.04	135.227	734.9	1179.57	512.329	809.784	241.494	239.427	884.625	1414.41	1372.27	763.505	9157.78	1090.19	423.51	882.385	202.158	184.773	304.965	489.869	1477.94	7280.36	291.917	192.251	420.543	257.838	1153.91	920.691	3750.49	244.853	110.249	504.056	932.247	1014.6	1041.8	1185.3	7208.15	3083.23	1313.57	10596	79.0152	843.715	69.4248	19.1761	7176.79	6002.59	911.404	690.472	443.457	3310.64	336.551	213.43	360.07	802.108	188.015	87.9089	511.517	6933.18	267.841	649.173	2586.47	244.744	2334.69	266.607	374.546	424.822	1564.4	928.09	1058.4	17992.2	830.657	8690.69	1320.29	1354.52	52.8861	31.7746	3494.39	37.0467	45.9907	91.9249	17.7537	140.351	103.361	0	100.459	65.3607	533.07	90.037	323.02	554.911	1226.17	350.648	163.152	146.311	5937.4	233.008	56.8216
