metabolite	tgt_proteins_ngene	tgt_proteins_indrg	tgt_proteins_pvalue	tgt_proteins_padj	tgt_proteins_overlap	ss_metabolites_ngene	ss_metabolites_indrg	ss_metabolites_pvalue	ss_metabolites_padj	ss_metabolites_overlap	co_metabolites_ngene	co_metabolites_indrg	co_metabolites_pvalue	co_metabolites_padj	co_metabolites_overlap
1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid	0	0	NA	NA	NA	0	0	NA	NA	NA	438	13	4.26448777887474e-07	7.26542362326808e-07	PON1/CXCL6/CRP/IL6/ICAM1/PON3/CCL5/CXCL16/APLN/IL8/ADIPOQ/CXCL9/CHRNA7
2-hydroxyphenethylamine	0	0	NA	NA	NA	23	0	NA	NA	NA	175	4	0.0129400334416821	0.0175071040681581	VIPR1/PTGS2/CDX2/IL10
3-methyladipate-pimelate	0	0	NA	NA	NA	0	0	NA	NA	NA	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
5alpha-cholestanol	0	0	NA	NA	NA	55	2	0.0328427917878129	0.0346673913315803	TLR2/ESR2	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
7-ketodeoxycholate	0	0	NA	NA	NA	273	12	1.77569280217408e-08	6.74763264826149e-08	PON1/IL6/STAT3/ABCB1/CCL5/VIPR1/NR1I2/PTGS2/CDX2/TNF/GPX1/IL10	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
ADMA	301	11	4.59770408803571e-07	8.04598215406249e-07	IFNG/IL4/KDR/STAT3/ICAM1/PTGS2/TLR4/IL6/TNF/IL10/IL17A	13	0	NA	NA	NA	1070	22	2.35939082619666e-08	7.23546520033644e-08	MEFV/CXCL6/IL4/SELL/IL6/STAT3/ICAM1/CCL5/CXCL16/IL13/APLN/IL8/MMP1/VIPR1/ITGAL/CXCL9/PTGS2/VEGFA/TLR4/TNF/IL10/IDO1
C14:0 CE	0	0	NA	NA	NA	0	0	NA	NA	NA	11	0	NA	NA	NA
C16:0 CE	0	0	NA	NA	NA	0	0	NA	NA	NA	11	0	NA	NA	NA
C16:0 LPC	0	0	NA	NA	NA	0	0	NA	NA	NA	285	11	2.67177814118936e-07	6.14508972473553e-07	XBP1/PON1/IFNG/ALOX12/IL6/KDR/UGT1A1/IL8/PTGS2/TNF/PGF
C16:0 SM	0	0	NA	NA	NA	0	0	NA	NA	NA	0	0	NA	NA	NA
