Database	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Biological Process	GO:0007200	(BP)phospholipase C-activating G protein-coupled receptor signaling pathway	53/228	113/18870	1.23384317888718e-72	4.34806336239841e-69	2.86251617501825e-69	GNA11/P2RY10/FFAR2/FFAR1/F2RL3/NMUR2/CHRM3/GRP/NMBR/HTR2B/PLCB2/GNA15/GPR65/GPR17/AGTR1/HTR2C/GRM1/GNAQ/HCRT/CCKAR/F2RL2/F2RL1/PTAFR/TACR1/NTSR2/P2RY1/NMUR1/GRM5/CHRM1/ADRA1B/LTB4R/P2RY6/TRHR/P2RY2/GPR4/F2R/CCKBR/PLCB1/FPR2/LPAR6/LPAR1/AGT/HCRTR2/LPAR4/GNA14/EDNRB/GNB1/HTR2A/ADRA1D/GRPR/ADRA1A/HRH1/CASR	53
Biological Process	GO:0007218	(BP)neuropeptide signaling pathway	36/228	110/18870	3.12367594939455e-42	5.50391702283319e-39	3.62346410129767e-39	PROKR2/KISS1R/MCHR1/NMUR2/NTS/GRP/NMBR/NMU/NPFF/NPFFR1/MCHR2/CYSLTR2/HCRT/PROK2/TAC3/NTSR2/PROKR1/NMUR1/LTB4R/NPFFR2/TAC1/UTS2R/PMCH/QRFP/NPSR1/NTSR1/HCRTR2/CYSLTR1/HCRTR1/NMS/GRPR/QRFPR/NMB/NPS/RELA/LTB4R2	36
Biological Process	GO:0007204	(BP)positive regulation of cytosolic calcium ion concentration	40/228	173/18870	4.37362331254293e-40	5.13754951780043e-37	3.3822686950332e-37	BDKRB1/FFAR1/MCHR1/NMUR2/KNG1/AGTR1/PTGIR/PTGER1/HCRT/PROK2/F2RL1/AVPR1A/TACR1/P2RY1/ADRA1B/BDKRB2/XCR1/EDNRA/TAC1/F2R/OXTR/CCKBR/FPR2/HMGB1/SAA1/LPAR1/KISS1/LPAR3/PTGFR/EDN2/CYSLTR1/EDNRB/HTR2A/EDN1/ADRA1D/AVP/ADRA1A/NMB/LPAR2/TBXA2R	40
Biological Process	GO:0035296	(BP)regulation of tube diameter	35/228	146/18870	1.04679706799099e-35	7.37782573520049e-33	4.85713839547819e-33	UTS2/GCLC/RGS2/CHRM3/NTS/HTR2B/KNG1/AGTR1/F2RL1/AVPR1A/TACR1/P2RY1/ADRA1B/BDKRB2/P2RY2/EDNRA/F2R/UTS2R/OXTR/EDN3/UTS2D/AGT/PTGS2/EDN2/CYSLTR1/EDNRB/HTR2A/EDN1/ADRA1D/AVP/ADRA1A/HRH1/TBXA2R/CPS1/CASR	35
Biological Process	GO:0097746	(BP)blood vessel diameter maintenance	35/228	146/18870	1.04679706799099e-35	7.37782573520049e-33	4.85713839547819e-33	UTS2/GCLC/RGS2/CHRM3/NTS/HTR2B/KNG1/AGTR1/F2RL1/AVPR1A/TACR1/P2RY1/ADRA1B/BDKRB2/P2RY2/EDNRA/F2R/UTS2R/OXTR/EDN3/UTS2D/AGT/PTGS2/EDN2/CYSLTR1/EDNRB/HTR2A/EDN1/ADRA1D/AVP/ADRA1A/HRH1/TBXA2R/CPS1/CASR	35
Biological Process	GO:0035150	(BP)regulation of tube size	35/228	147/18870	1.36016725419855e-35	7.98871567299281e-33	5.25931338290106e-33	UTS2/GCLC/RGS2/CHRM3/NTS/HTR2B/KNG1/AGTR1/F2RL1/AVPR1A/TACR1/P2RY1/ADRA1B/BDKRB2/P2RY2/EDNRA/F2R/UTS2R/OXTR/EDN3/UTS2D/AGT/PTGS2/EDN2/CYSLTR1/EDNRB/HTR2A/EDN1/ADRA1D/AVP/ADRA1A/HRH1/TBXA2R/CPS1/CASR	35
Biological Process	GO:0003018	(BP)vascular process in circulatory system	39/228	269/18870	8.48158945889669e-31	4.26987446473599e-28	2.81104107780576e-28	UTS2/GCLC/RGS2/CHRM3/NTS/HTR2B/KNG1/ABCB1/AGTR1/F2RL1/AVPR1A/TACR1/P2RY1/ADRA1B/BDKRB2/P2RY2/EDNRA/GPR4/F2R/UTS2R/OXTR/EDN3/UTS2D/SLC29A2/AGT/PTGS2/EDN2/CYSLTR1/TACR2/EDNRB/HTR2A/EDN1/ADRA1D/AVP/ADRA1A/HRH1/TBXA2R/CPS1/CASR	39
Biological Process	GO:0007188	(BP)adenylate cyclase-modulating G protein-coupled receptor signaling pathway	35/228	248/18870	2.89241944998383e-27	1.27411076771788e-24	8.3880164049531e-25	GNA11/RGS2/MCHR1/CHRM3/GNA15/GPR65/GRM1/GNAQ/PTGIR/PTGER1/P2RY1/GRM5/CHRM1/ADRA1B/PRKACA/EDNRA/GPR4/FFAR3/GNG2/FPR2/LPAR1/LPAR3/PTGFR/GNA14/GNB1/EDN1/ADRA1D/ADRA1A/CHRM5/GRK5/GCGR/LPAR2/GCG/TBXA2R/CASR	35
Biological Process	GO:0042310	(BP)vasoconstriction	24/228	83/18870	6.71329963243085e-27	2.62862976718737e-24	1.7305394608044e-24	CHRM3/HTR2B/AGTR1/AVPR1A/TACR1/ADRA1B/BDKRB2/EDNRA/F2R/OXTR/EDN3/AGT/PTGS2/EDN2/CYSLTR1/EDNRB/HTR2A/EDN1/ADRA1D/AVP/ADRA1A/HRH1/TBXA2R/CASR	24
Biological Process	GO:0008217	(BP)regulation of blood pressure	31/228	187/18870	2.02176025858329e-26	7.12468315124752e-24	4.69048379991324e-24	UTS2/GNA11/BDKRB1/PPARA/AGTR1/PLCB3/F2RL1/AVPR1A/TAC3/PTAFR/TACR3/TACR1/ADRA1B/EDNRA/F2R/UTS2R/OXTR/FFAR3/EDN3/UTS2D/QRFP/AGT/PTGS2/NTSR1/EDN2/EDNRB/EDN1/AVP/ADRA1A/GCGR/TBXA2R	31
