Database	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Biological Process	GO:0052695	(BP)cellular glucuronidation	17/52	21/18870	9.58163961052475e-42	1.97285959580705e-38	1.12458191218264e-38	UGT2A3/UGT2B10/UGT1A6/UGT2B7/UGT1A1/UGT2B4/UGT2B17/UGT2B15/UGT1A10/UGT1A9/UGT1A4/UGT1A5/UGT1A7/UGT1A8/UGT2B11/UGT2A1/UGT1A3	17
Biological Process	GO:0006063	(BP)uronic acid metabolic process	17/52	26/18870	4.95851325037614e-39	3.40319292750815e-36	1.939909569884e-36	UGT2A3/UGT2B10/UGT1A6/UGT2B7/UGT1A1/UGT2B4/UGT2B17/UGT2B15/UGT1A10/UGT1A9/UGT1A4/UGT1A5/UGT1A7/UGT1A8/UGT2B11/UGT2A1/UGT1A3	17
Biological Process	GO:0019585	(BP)glucuronate metabolic process	17/52	26/18870	4.95851325037614e-39	3.40319292750815e-36	1.939909569884e-36	UGT2A3/UGT2B10/UGT1A6/UGT2B7/UGT1A1/UGT2B4/UGT2B17/UGT2B15/UGT1A10/UGT1A9/UGT1A4/UGT1A5/UGT1A7/UGT1A8/UGT2B11/UGT2A1/UGT1A3	17
Biological Process	GO:0071466	(BP)cellular response to xenobiotic stimulus	19/52	192/18870	3.19489447064423e-25	1.64457192876412e-22	9.3744929862324e-23	SLCO1B1/ABCB11/CYP2A6/UGT1A6/UGT2B7/UGT1A1/UGT2B17/NOS2/UGT2B15/CYP1A2/UGT1A10/UGT1A9/ABCC2/UGT1A7/UGT1A8/EDN1/CYP1A1/UGT2B11/UGT1A3	19
Biological Process	GO:0006805	(BP)xenobiotic metabolic process	17/52	125/18870	5.32752251456063e-25	2.19387377149607e-22	1.25056581131265e-22	SLCO1B1/ABCB11/CYP2A6/UGT1A6/UGT2B7/UGT1A1/UGT2B17/UGT2B15/CYP1A2/UGT1A10/UGT1A9/ABCC2/UGT1A7/UGT1A8/CYP1A1/UGT2B11/UGT1A3	17
Biological Process	GO:0008210	(BP)estrogen metabolic process	12/52	40/18870	2.57384557981504e-22	8.83258008139861e-20	5.0348031956031e-20	UGT2A3/UGT2B10/UGT2B7/UGT1A1/UGT2B4/UGT2B17/UGT2B15/CYP1A2/UGT1A7/CYP1A1/UGT2B11/UGT1A3	12
Biological Process	GO:0042440	(BP)pigment metabolic process	14/52	81/18870	3.43095260698781e-22	1.00919020254113e-19	5.75264985983671e-20	HMOX1/HMOX2/SLCO1B1/BLVRB/CPOX/BLVRA/UGT1A1/UGT1A10/UGT1A9/ABCC2/UGT1A4/UGT1A7/UGT1A8/SLC46A1	14
Biological Process	GO:0008202	(BP)steroid metabolic process	19/52	327/18870	9.28527969535173e-21	2.38979886159115e-18	1.36224827109437e-18	UGT2A3/IL1A/ABCB11/UGT2B10/CYP2A6/UGT2B7/UGT1A1/UGT2B4/UGT2B17/UGT2B15/CYP1A2/UGT1A4/UGT1A7/UGT1A8/CYP1A1/UGT2B11/UGT2A1/TNF/UGT1A3	19
Biological Process	GO:0006778	(BP)porphyrin-containing compound metabolic process	12/52	53/18870	1.19810350948484e-20	2.74099458447698e-18	1.56243907962058e-18	HMOX1/HMOX2/SLCO1B1/BLVRB/CPOX/BLVRA/UGT1A1/CYP1A2/ABCC2/UGT1A4/CYP1A1/SLC46A1	12
Biological Process	GO:0009410	(BP)response to xenobiotic stimulus	20/52	434/18870	7.11639452753534e-20	1.46526563321953e-17	8.35239989284411e-18	SLCO1B1/ABCB11/CYP2A6/UGT1A6/UGT2B7/UGT1A1/UGT2B17/NOS2/UGT2B15/CYP1A2/UGT1A10/UGT1A9/ABCC2/UGT1A7/UGT1A8/EDN1/CYP1A1/UGT2B11/TNF/UGT1A3	20
